"code_region","region","departement","rang_vaccinal","date_debut_semaine","nb"
NA,NA,"",1,2021-01-18,12
NA,NA,"",2,2021-02-01,11
NA,NA,"",2,2021-02-08,12
84,"ARA","01",1,2021-01-18,1460
84,"ARA","01",1,2021-01-25,1939
84,"ARA","01",2,2021-01-25,66
84,"ARA","01",1,2021-02-01,1696
84,"ARA","01",2,2021-02-01,526
84,"ARA","01",1,2021-02-08,1472
84,"ARA","01",2,2021-02-08,1431
84,"ARA","01",1,2021-02-15,946
84,"ARA","01",2,2021-02-15,937
84,"ARA","01",1,2021-02-22,682
84,"ARA","01",2,2021-02-22,2096
84,"ARA","01",1,2021-03-01,663
84,"ARA","01",2,2021-03-01,1755
84,"ARA","01",1,2021-03-08,614
84,"ARA","01",2,2021-03-08,1774
32,"HDF","02",1,2021-01-18,2995
32,"HDF","02",1,2021-01-25,991
32,"HDF","02",2,2021-01-25,308
32,"HDF","02",1,2021-02-01,791
32,"HDF","02",2,2021-02-01,1602
32,"HDF","02",1,2021-02-08,742
32,"HDF","02",2,2021-02-08,2083
32,"HDF","02",1,2021-02-15,304
32,"HDF","02",2,2021-02-15,1907
32,"HDF","02",1,2021-02-22,154
32,"HDF","02",2,2021-02-22,903
32,"HDF","02",1,2021-03-01,585
32,"HDF","02",2,2021-03-01,715
32,"HDF","02",1,2021-03-08,644
32,"HDF","02",2,2021-03-08,496
84,"ARA","03",1,2021-01-18,4570
84,"ARA","03",2,2021-01-18,4
84,"ARA","03",1,2021-01-25,2682
84,"ARA","03",2,2021-01-25,91
84,"ARA","03",1,2021-02-01,1900
84,"ARA","03",2,2021-02-01,625
84,"ARA","03",1,2021-02-08,1270
84,"ARA","03",2,2021-02-08,816
84,"ARA","03",1,2021-02-15,248
84,"ARA","03",2,2021-02-15,4410
84,"ARA","03",1,2021-02-22,138
84,"ARA","03",2,2021-02-22,3465
84,"ARA","03",1,2021-03-01,176
84,"ARA","03",2,2021-03-01,1428
84,"ARA","03",1,2021-03-08,114
84,"ARA","03",2,2021-03-08,829
93,"PAC","04",1,2021-01-18,1393
93,"PAC","04",2,2021-01-18,3
93,"PAC","04",1,2021-01-25,1492
93,"PAC","04",2,2021-01-25,17
93,"PAC","04",1,2021-02-01,1379
93,"PAC","04",2,2021-02-01,15
93,"PAC","04",1,2021-02-08,1076
93,"PAC","04",2,2021-02-08,469
93,"PAC","04",1,2021-02-15,315
93,"PAC","04",2,2021-02-15,1439
93,"PAC","04",1,2021-02-22,18
93,"PAC","04",2,2021-02-22,1483
93,"PAC","04",1,2021-03-01,10
93,"PAC","04",2,2021-03-01,1338
93,"PAC","04",1,2021-03-08,18
93,"PAC","04",2,2021-03-08,1051
93,"PAC","05",1,2021-01-18,977
93,"PAC","05",1,2021-01-25,1155
93,"PAC","05",2,2021-01-25,55
93,"PAC","05",1,2021-02-01,924
93,"PAC","05",2,2021-02-01,249
93,"PAC","05",1,2021-02-08,381
93,"PAC","05",2,2021-02-08,635
93,"PAC","05",1,2021-02-15,154
93,"PAC","05",2,2021-02-15,725
93,"PAC","05",1,2021-02-22,20
93,"PAC","05",2,2021-02-22,1082
93,"PAC","05",1,2021-03-01,13
93,"PAC","05",2,2021-03-01,860
93,"PAC","05",1,2021-03-08,3
93,"PAC","05",2,2021-03-08,398
93,"PAC","06",1,2021-01-18,4293
93,"PAC","06",2,2021-01-18,4
93,"PAC","06",1,2021-01-25,3537
93,"PAC","06",2,2021-01-25,819
93,"PAC","06",1,2021-02-01,1754
93,"PAC","06",2,2021-02-01,1433
93,"PAC","06",1,2021-02-08,932
93,"PAC","06",2,2021-02-08,1931
93,"PAC","06",1,2021-02-15,591
93,"PAC","06",2,2021-02-15,4622
93,"PAC","06",1,2021-02-22,548
93,"PAC","06",2,2021-02-22,4317
93,"PAC","06",1,2021-03-01,805
93,"PAC","06",2,2021-03-01,1995
93,"PAC","06",1,2021-03-08,65
93,"PAC","06",2,2021-03-08,995
84,"ARA","07",1,2021-01-18,482
84,"ARA","07",2,2021-01-18,1
84,"ARA","07",1,2021-01-25,486
84,"ARA","07",2,2021-01-25,56
84,"ARA","07",1,2021-02-01,940
84,"ARA","07",2,2021-02-01,294
84,"ARA","07",1,2021-02-08,550
84,"ARA","07",2,2021-02-08,202
84,"ARA","07",1,2021-02-15,423
84,"ARA","07",2,2021-02-15,600
84,"ARA","07",1,2021-02-22,273
84,"ARA","07",2,2021-02-22,972
84,"ARA","07",1,2021-03-01,188
84,"ARA","07",2,2021-03-01,935
84,"ARA","07",1,2021-03-08,4
84,"ARA","07",2,2021-03-08,401
44,"GES","08",1,2021-01-18,1803
44,"GES","08",2,2021-01-18,6
44,"GES","08",1,2021-01-25,1357
44,"GES","08",2,2021-01-25,76
44,"GES","08",1,2021-02-01,638
44,"GES","08",2,2021-02-01,570
44,"GES","08",1,2021-02-08,315
44,"GES","08",2,2021-02-08,638
44,"GES","08",1,2021-02-15,30
44,"GES","08",2,2021-02-15,1459
44,"GES","08",1,2021-02-22,19
44,"GES","08",2,2021-02-22,1286
44,"GES","08",1,2021-03-01,31
44,"GES","08",2,2021-03-01,548
44,"GES","08",1,2021-03-08,41
44,"GES","08",2,2021-03-08,274
76,"OCC","09",1,2021-01-18,1658
76,"OCC","09",1,2021-01-25,1114
76,"OCC","09",2,2021-01-25,230
76,"OCC","09",1,2021-02-01,394
76,"OCC","09",2,2021-02-01,737
76,"OCC","09",1,2021-02-08,65
76,"OCC","09",2,2021-02-08,1178
76,"OCC","09",1,2021-02-15,35
76,"OCC","09",2,2021-02-15,1167
76,"OCC","09",1,2021-02-22,9
76,"OCC","09",2,2021-02-22,805
76,"OCC","09",1,2021-03-01,2
76,"OCC","09",2,2021-03-01,232
76,"OCC","09",1,2021-03-08,1
76,"OCC","09",2,2021-03-08,35
44,"GES","10",1,2021-01-18,2354
44,"GES","10",2,2021-01-18,4
44,"GES","10",1,2021-01-25,1873
44,"GES","10",2,2021-01-25,10
44,"GES","10",1,2021-02-01,1467
44,"GES","10",2,2021-02-01,479
44,"GES","10",1,2021-02-08,1496
44,"GES","10",2,2021-02-08,598
44,"GES","10",1,2021-02-15,47
44,"GES","10",2,2021-02-15,2127
44,"GES","10",1,2021-02-22,10
44,"GES","10",2,2021-02-22,1852
44,"GES","10",1,2021-03-01,7
44,"GES","10",2,2021-03-01,1391
44,"GES","10",1,2021-03-08,5
44,"GES","10",2,2021-03-08,1456
76,"OCC","11",1,2021-01-18,1551
76,"OCC","11",2,2021-01-18,6
76,"OCC","11",1,2021-01-25,1832
76,"OCC","11",2,2021-01-25,83
76,"OCC","11",1,2021-02-01,1907
76,"OCC","11",2,2021-02-01,670
76,"OCC","11",1,2021-02-08,1495
76,"OCC","11",2,2021-02-08,1185
76,"OCC","11",1,2021-02-15,660
76,"OCC","11",2,2021-02-15,1363
76,"OCC","11",1,2021-02-22,414
76,"OCC","11",2,2021-02-22,1695
76,"OCC","11",1,2021-03-01,350
76,"OCC","11",2,2021-03-01,1555
76,"OCC","11",1,2021-03-08,329
76,"OCC","11",2,2021-03-08,1254
76,"OCC","12",1,2021-01-18,2368
76,"OCC","12",1,2021-01-25,3166
76,"OCC","12",2,2021-01-25,4
76,"OCC","12",1,2021-02-01,2261
76,"OCC","12",2,2021-02-01,97
76,"OCC","12",1,2021-02-08,1040
76,"OCC","12",2,2021-02-08,687
76,"OCC","12",1,2021-02-15,69
76,"OCC","12",2,2021-02-15,2382
76,"OCC","12",1,2021-02-22,20
76,"OCC","12",2,2021-02-22,3094
76,"OCC","12",1,2021-03-01,195
76,"OCC","12",2,2021-03-01,1938
76,"OCC","12",1,2021-03-08,203
76,"OCC","12",2,2021-03-08,1037
93,"PAC","13",1,2021-01-18,8218
93,"PAC","13",2,2021-01-18,18
93,"PAC","13",1,2021-01-25,8779
93,"PAC","13",2,2021-01-25,237
93,"PAC","13",1,2021-02-01,7153
93,"PAC","13",2,2021-02-01,1262
93,"PAC","13",1,2021-02-08,5671
93,"PAC","13",2,2021-02-08,3285
93,"PAC","13",1,2021-02-15,1441
93,"PAC","13",2,2021-02-15,7931
93,"PAC","13",1,2021-02-22,765
93,"PAC","13",2,2021-02-22,8508
93,"PAC","13",1,2021-03-01,689
93,"PAC","13",2,2021-03-01,6010
93,"PAC","13",1,2021-03-08,803
93,"PAC","13",2,2021-03-08,4677
28,"NOR","14",1,2021-01-18,4795
28,"NOR","14",2,2021-01-18,9
28,"NOR","14",1,2021-01-25,4364
28,"NOR","14",2,2021-01-25,222
28,"NOR","14",1,2021-02-01,3876
28,"NOR","14",2,2021-02-01,890
28,"NOR","14",1,2021-02-08,3036
28,"NOR","14",2,2021-02-08,2185
28,"NOR","14",1,2021-02-15,166
28,"NOR","14",2,2021-02-15,4114
28,"NOR","14",1,2021-02-22,198
28,"NOR","14",2,2021-02-22,4037
28,"NOR","14",1,2021-03-01,245
28,"NOR","14",2,2021-03-01,3088
28,"NOR","14",1,2021-03-08,195
28,"NOR","14",2,2021-03-08,2434
84,"ARA","15",1,2021-01-18,2125
84,"ARA","15",1,2021-01-25,1785
84,"ARA","15",2,2021-01-25,43
84,"ARA","15",1,2021-02-01,1001
84,"ARA","15",2,2021-02-01,587
84,"ARA","15",1,2021-02-08,719
84,"ARA","15",2,2021-02-08,538
84,"ARA","15",1,2021-02-15,50
84,"ARA","15",2,2021-02-15,1976
84,"ARA","15",1,2021-02-22,9
84,"ARA","15",2,2021-02-22,1399
84,"ARA","15",1,2021-03-01,8
84,"ARA","15",2,2021-03-01,763
84,"ARA","15",2,2021-03-08,695
75,"NAQ","16",1,2021-01-18,1587
75,"NAQ","16",1,2021-01-25,2130
75,"NAQ","16",2,2021-01-25,8
75,"NAQ","16",1,2021-02-01,1629
75,"NAQ","16",2,2021-02-01,283
75,"NAQ","16",1,2021-02-08,1495
75,"NAQ","16",2,2021-02-08,641
75,"NAQ","16",1,2021-02-15,200
75,"NAQ","16",2,2021-02-15,2352
75,"NAQ","16",1,2021-02-22,45
75,"NAQ","16",2,2021-02-22,2680
75,"NAQ","16",1,2021-03-01,24
75,"NAQ","16",2,2021-03-01,1860
75,"NAQ","16",1,2021-03-08,4
75,"NAQ","16",2,2021-03-08,1418
75,"NAQ","17",1,2021-01-18,5521
75,"NAQ","17",2,2021-01-18,4
75,"NAQ","17",1,2021-01-25,7067
75,"NAQ","17",2,2021-01-25,127
75,"NAQ","17",1,2021-02-01,3351
75,"NAQ","17",2,2021-02-01,1257
75,"NAQ","17",1,2021-02-08,1922
75,"NAQ","17",2,2021-02-08,1892
75,"NAQ","17",1,2021-02-15,387
75,"NAQ","17",2,2021-02-15,5725
75,"NAQ","17",1,2021-02-22,58
75,"NAQ","17",2,2021-02-22,6464
75,"NAQ","17",1,2021-03-01,308
75,"NAQ","17",2,2021-03-01,3192
75,"NAQ","17",1,2021-03-08,293
75,"NAQ","17",2,2021-03-08,1978
24,"CVL","18",1,2021-01-18,1357
24,"CVL","18",2,2021-01-18,6
24,"CVL","18",1,2021-01-25,1726
24,"CVL","18",2,2021-01-25,21
24,"CVL","18",1,2021-02-01,1484
24,"CVL","18",2,2021-02-01,9
24,"CVL","18",1,2021-02-08,1227
24,"CVL","18",2,2021-02-08,344
24,"CVL","18",1,2021-02-15,41
24,"CVL","18",2,2021-02-15,1341
24,"CVL","18",1,2021-02-22,6
24,"CVL","18",2,2021-02-22,1347
24,"CVL","18",1,2021-03-01,2
24,"CVL","18",2,2021-03-01,1477
24,"CVL","18",1,2021-03-08,1
24,"CVL","18",2,2021-03-08,1112
75,"NAQ","19",1,2021-01-18,1241
75,"NAQ","19",1,2021-01-25,1234
75,"NAQ","19",2,2021-01-25,3
75,"NAQ","19",1,2021-02-01,1240
75,"NAQ","19",2,2021-02-01,80
75,"NAQ","19",1,2021-02-08,1029
75,"NAQ","19",2,2021-02-08,156
75,"NAQ","19",1,2021-02-15,78
75,"NAQ","19",2,2021-02-15,1228
75,"NAQ","19",1,2021-02-22,4
75,"NAQ","19",2,2021-02-22,959
75,"NAQ","19",1,2021-03-01,1
75,"NAQ","19",2,2021-03-01,1062
75,"NAQ","19",1,2021-03-08,1
75,"NAQ","19",2,2021-03-08,804
27,"BFC","21",1,2021-01-18,4463
27,"BFC","21",2,2021-01-18,2
27,"BFC","21",1,2021-01-25,4374
27,"BFC","21",2,2021-01-25,88
27,"BFC","21",1,2021-02-01,2155
27,"BFC","21",2,2021-02-01,91
27,"BFC","21",1,2021-02-08,2250
27,"BFC","21",2,2021-02-08,988
27,"BFC","21",1,2021-02-15,183
27,"BFC","21",2,2021-02-15,4171
27,"BFC","21",1,2021-02-22,116
27,"BFC","21",2,2021-02-22,3966
27,"BFC","21",1,2021-03-01,731
27,"BFC","21",2,2021-03-01,2496
27,"BFC","21",1,2021-03-08,312
27,"BFC","21",2,2021-03-08,2669
53,"BRE","22",1,2021-01-18,2058
53,"BRE","22",1,2021-01-25,3895
53,"BRE","22",2,2021-01-25,18
53,"BRE","22",1,2021-02-01,3642
53,"BRE","22",2,2021-02-01,389
53,"BRE","22",1,2021-02-08,3088
53,"BRE","22",2,2021-02-08,373
53,"BRE","22",1,2021-02-15,1280
53,"BRE","22",2,2021-02-15,1962
53,"BRE","22",1,2021-02-22,174
53,"BRE","22",2,2021-02-22,3484
53,"BRE","22",1,2021-03-01,16
53,"BRE","22",2,2021-03-01,1238
53,"BRE","22",1,2021-03-08,66
53,"BRE","22",2,2021-03-08,469
75,"NAQ","23",1,2021-01-18,1568
75,"NAQ","23",1,2021-01-25,1172
75,"NAQ","23",2,2021-01-25,269
75,"NAQ","23",1,2021-02-01,271
75,"NAQ","23",2,2021-02-01,721
75,"NAQ","23",1,2021-02-08,109
75,"NAQ","23",2,2021-02-08,976
75,"NAQ","23",1,2021-02-15,4
75,"NAQ","23",2,2021-02-15,1226
75,"NAQ","23",2,2021-02-22,583
75,"NAQ","23",1,2021-03-01,21
75,"NAQ","23",2,2021-03-01,288
75,"NAQ","23",2,2021-03-08,88
75,"NAQ","24",1,2021-01-18,1289
75,"NAQ","24",1,2021-01-25,1795
75,"NAQ","24",2,2021-01-25,1
75,"NAQ","24",1,2021-02-01,1228
75,"NAQ","24",2,2021-02-01,408
75,"NAQ","24",1,2021-02-08,1355
75,"NAQ","24",2,2021-02-08,366
75,"NAQ","24",1,2021-02-15,324
75,"NAQ","24",2,2021-02-15,809
75,"NAQ","24",1,2021-02-22,329
75,"NAQ","24",2,2021-02-22,1247
75,"NAQ","24",1,2021-03-01,44
75,"NAQ","24",2,2021-03-01,566
75,"NAQ","24",1,2021-03-08,2
75,"NAQ","24",2,2021-03-08,307
27,"BFC","25",1,2021-01-18,4876
27,"BFC","25",2,2021-01-18,3
27,"BFC","25",1,2021-01-25,4472
27,"BFC","25",2,2021-01-25,6
27,"BFC","25",1,2021-02-01,3015
27,"BFC","25",2,2021-02-01,710
27,"BFC","25",1,2021-02-08,3177
27,"BFC","25",2,2021-02-08,897
27,"BFC","25",1,2021-02-15,30
27,"BFC","25",2,2021-02-15,5004
27,"BFC","25",1,2021-02-22,9
27,"BFC","25",2,2021-02-22,4294
27,"BFC","25",1,2021-03-01,32
27,"BFC","25",2,2021-03-01,2855
27,"BFC","25",1,2021-03-08,1
27,"BFC","25",2,2021-03-08,2959
84,"ARA","26",1,2021-01-18,2522
84,"ARA","26",1,2021-01-25,3540
84,"ARA","26",2,2021-01-25,8
84,"ARA","26",1,2021-02-01,2960
84,"ARA","26",2,2021-02-01,507
84,"ARA","26",1,2021-02-08,2151
84,"ARA","26",2,2021-02-08,1196
84,"ARA","26",1,2021-02-15,489
84,"ARA","26",2,2021-02-15,2905
84,"ARA","26",1,2021-02-22,163
84,"ARA","26",2,2021-02-22,3241
84,"ARA","26",1,2021-03-01,14
84,"ARA","26",2,2021-03-01,2660
84,"ARA","26",1,2021-03-08,1
84,"ARA","26",2,2021-03-08,2195
28,"NOR","27",1,2021-01-18,3671
28,"NOR","27",2,2021-01-18,12
28,"NOR","27",1,2021-01-25,2823
28,"NOR","27",2,2021-01-25,343
28,"NOR","27",1,2021-02-01,1414
28,"NOR","27",2,2021-02-01,1256
28,"NOR","27",1,2021-02-08,877
28,"NOR","27",2,2021-02-08,1679
28,"NOR","27",1,2021-02-15,82
28,"NOR","27",2,2021-02-15,2992
28,"NOR","27",1,2021-02-22,34
28,"NOR","27",2,2021-02-22,2296
28,"NOR","27",1,2021-03-01,44
28,"NOR","27",2,2021-03-01,1255
28,"NOR","27",1,2021-03-08,88
28,"NOR","27",2,2021-03-08,843
24,"CVL","28",1,2021-01-18,2586
24,"CVL","28",2,2021-01-18,2
24,"CVL","28",1,2021-01-25,2475
24,"CVL","28",2,2021-01-25,138
24,"CVL","28",1,2021-02-01,1839
24,"CVL","28",2,2021-02-01,739
24,"CVL","28",1,2021-02-08,895
24,"CVL","28",2,2021-02-08,1306
24,"CVL","28",1,2021-02-15,279
24,"CVL","28",2,2021-02-15,2538
24,"CVL","28",1,2021-02-22,33
24,"CVL","28",2,2021-02-22,2017
24,"CVL","28",1,2021-03-01,27
24,"CVL","28",2,2021-03-01,1323
24,"CVL","28",1,2021-03-08,88
24,"CVL","28",2,2021-03-08,1026
53,"BRE","29",1,2021-01-18,2474
53,"BRE","29",2,2021-01-18,1
53,"BRE","29",1,2021-01-25,2793
53,"BRE","29",2,2021-01-25,299
53,"BRE","29",1,2021-02-01,2166
53,"BRE","29",2,2021-02-01,1252
53,"BRE","29",1,2021-02-08,1881
53,"BRE","29",2,2021-02-08,1426
53,"BRE","29",1,2021-02-15,211
53,"BRE","29",2,2021-02-15,3533
53,"BRE","29",1,2021-02-22,46
53,"BRE","29",2,2021-02-22,3573
53,"BRE","29",1,2021-03-01,8
53,"BRE","29",2,2021-03-01,2793
53,"BRE","29",1,2021-03-08,2
53,"BRE","29",2,2021-03-08,2160
94,"COR","2A",1,2021-01-18,1299
94,"COR","2A",2,2021-01-18,2
94,"COR","2A",1,2021-01-25,1584
94,"COR","2A",2,2021-01-25,66
94,"COR","2A",1,2021-02-01,1298
94,"COR","2A",2,2021-02-01,312
94,"COR","2A",1,2021-02-08,428
94,"COR","2A",2,2021-02-08,878
94,"COR","2A",1,2021-02-15,239
94,"COR","2A",2,2021-02-15,1142
94,"COR","2A",1,2021-02-22,37
94,"COR","2A",2,2021-02-22,1075
94,"COR","2A",1,2021-03-01,19
94,"COR","2A",2,2021-03-01,725
94,"COR","2A",1,2021-03-08,14
94,"COR","2A",2,2021-03-08,384
94,"COR","2B",1,2021-01-18,690
94,"COR","2B",1,2021-01-25,698
94,"COR","2B",1,2021-02-01,1145
94,"COR","2B",2,2021-02-01,15
94,"COR","2B",1,2021-02-08,496
94,"COR","2B",2,2021-02-08,77
94,"COR","2B",1,2021-02-15,66
94,"COR","2B",2,2021-02-15,754
94,"COR","2B",1,2021-02-22,53
94,"COR","2B",2,2021-02-22,873
94,"COR","2B",1,2021-03-01,16
94,"COR","2B",2,2021-03-01,816
94,"COR","2B",1,2021-03-08,1
94,"COR","2B",2,2021-03-08,386
76,"OCC","30",1,2021-01-18,2468
76,"OCC","30",2,2021-01-18,1
76,"OCC","30",1,2021-01-25,3499
76,"OCC","30",2,2021-01-25,97
76,"OCC","30",1,2021-02-01,2673
76,"OCC","30",2,2021-02-01,681
76,"OCC","30",1,2021-02-08,1359
76,"OCC","30",2,2021-02-08,1701
76,"OCC","30",1,2021-02-15,203
76,"OCC","30",2,2021-02-15,2597
76,"OCC","30",1,2021-02-22,52
76,"OCC","30",2,2021-02-22,2663
76,"OCC","30",1,2021-03-01,7
76,"OCC","30",2,2021-03-01,2354
76,"OCC","30",1,2021-03-08,2
76,"OCC","30",2,2021-03-08,1250
76,"OCC","31",1,2021-01-18,5582
76,"OCC","31",2,2021-01-18,11
76,"OCC","31",1,2021-01-25,6109
76,"OCC","31",2,2021-01-25,983
76,"OCC","31",1,2021-02-01,4869
76,"OCC","31",2,2021-02-01,1513
76,"OCC","31",1,2021-02-08,4372
76,"OCC","31",2,2021-02-08,1858
76,"OCC","31",1,2021-02-15,922
76,"OCC","31",2,2021-02-15,5817
76,"OCC","31",1,2021-02-22,459
76,"OCC","31",2,2021-02-22,5791
76,"OCC","31",1,2021-03-01,306
76,"OCC","31",2,2021-03-01,3139
76,"OCC","31",1,2021-03-08,211
76,"OCC","31",2,2021-03-08,1942
76,"OCC","32",1,2021-01-18,305
76,"OCC","32",1,2021-01-25,1420
76,"OCC","32",2,2021-01-25,20
76,"OCC","32",1,2021-02-01,1346
76,"OCC","32",2,2021-02-01,157
76,"OCC","32",1,2021-02-08,1472
76,"OCC","32",2,2021-02-08,125
76,"OCC","32",1,2021-02-15,6
76,"OCC","32",2,2021-02-15,246
76,"OCC","32",2,2021-02-22,1399
76,"OCC","32",2,2021-03-01,1306
76,"OCC","32",1,2021-03-08,1
76,"OCC","32",2,2021-03-08,1455
75,"NAQ","33",1,2021-01-18,8373
75,"NAQ","33",2,2021-01-18,50
75,"NAQ","33",1,2021-01-25,9059
75,"NAQ","33",2,2021-01-25,900
75,"NAQ","33",1,2021-02-01,7244
75,"NAQ","33",2,2021-02-01,1862
75,"NAQ","33",1,2021-02-08,5148
75,"NAQ","33",2,2021-02-08,2462
75,"NAQ","33",1,2021-02-15,2068
75,"NAQ","33",2,2021-02-15,6349
